source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
69e242d0a05a760ab5de14c3,BT22,C,C,FF-kSP,FF-kSP C RWA,0.2,380659247127378.75,380.65924712737876,653,311.4598241876811,80.0,-2.0
69e242d0a05a760ab5de14c3,BT22,C,C,FF-kSP,FF-kSP C RWA,0.4,372002115896057.3,372.0021158960573,653,286.9050195692107,80.0,-2.0
69e242d0a05a760ab5de14c3,BT22,C,C,FF-kSP,FF-kSP C RWA,0.6,364205953205885.3,364.2059532058853,653,286.4599454915151,80.0,-2.0
69e242d0a05a760ab5de14c3,BT22,C,C,FF-kSP,FF-kSP C RWA,0.8,357103954918009.75,357.1039549180098,653,291.7508701207116,80.0,-2.0
69e242d0a05a760ab5de14c3,BT22,C,C,FF-kSP,FF-kSP C RWA,1.0,350576894067573.3,350.57689406757333,653,300.926347585395,80.0,-2.0
