source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
5f636b15439c64afe20d6f6f,NSFNET,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,0.2,2364046044425941.5,2364.0460444259415,6038,292.5116045186296,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,0.4,2033735694638215.5,2033.7356946382156,6038,284.99068722501397,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,0.6,1825139860654717.2,1825.1398606547173,6038,284.5682215662673,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,0.8,1674166807946824.5,1674.1668079468245,6038,280.86841908469796,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,1.0,1556951990214575.5,1556.9519902145755,6038,279.8415955789387,80.0,-2.0
