source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
5f636b15439c64afe20d6f6f,NSFNET,ESCL,ESCL,FF-kSP,FF-kSP ESCL RWA,0.2,1695904729498366.0,1695.904729498366,3738,192.23562645353377,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,ESCL,ESCL,FF-kSP,FF-kSP ESCL RWA,0.4,1502752810836963.0,1502.752810836963,3738,184.41410231310874,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,ESCL,ESCL,FF-kSP,FF-kSP ESCL RWA,0.6,1371424158350344.8,1371.4241583503447,3738,178.325818663463,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,ESCL,ESCL,FF-kSP,FF-kSP ESCL RWA,0.8,1272502519257437.2,1272.5025192574371,3738,184.3731040842831,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,ESCL,ESCL,FF-kSP,FF-kSP ESCL RWA,1.0,1193639387185994.2,1193.6393871859943,3738,195.7616920573637,80.0,-2.0
