swept_band,power_dBm,capacity_Tbps,snr_target_dB,nspans,span_km,band_selection,isolated_sweep
O,-4.0,158.7204325376,14.286070823669434,1,80.0,OESCL,True
O,-3.6,160.892511584256,14.492094039916992,1,80.0,OESCL,True
O,-3.2,162.885225414656,14.68075942993164,1,80.0,OESCL,True
O,-2.8,164.671042617344,14.849539756774902,1,80.0,OESCL,True
O,-2.4,165.71929985024,14.948987007141113,1,80.0,OESCL,True
O,-2.0,166.8762566656,15.058170318603516,1,80.0,OESCL,True
O,-1.5999999999999996,167.72400939008,15.13809585571289,1,80.0,OESCL,True
O,-1.1999999999999997,168.230949748736,15.185831069946289,1,80.0,OESCL,True
O,-0.7999999999999998,168.362617339904,15.198148727416992,1,80.0,OESCL,True
O,-0.3999999999999999,168.08430010368,15.171758651733398,1,80.0,OESCL,True
O,0.0,167.363668344832,15.103567123413086,1,80.0,OESCL,True
O,0.40000000000000036,166.164248395776,14.990008354187012,1,80.0,OESCL,True
O,0.8000000000000007,164.457787424768,14.828224182128906,1,80.0,OESCL,True
O,1.2000000000000002,162.212324835328,14.614880561828613,1,80.0,OESCL,True
O,1.6000000000000005,159.399121256448,14.34677505493164,1,80.0,OESCL,True
O,2.0,155.996802514944,14.0211820602417,1,80.0,OESCL,True
O,2.4000000000000004,151.982568374272,13.634881973266602,1,80.0,OESCL,True
O,2.8000000000000007,147.327494914048,13.183503150939941,1,80.0,OESCL,True
O,3.2,141.906189221888,12.652031898498535,1,80.0,OESCL,True
O,3.6000000000000005,122.89738539008,10.534676551818848,1,80.0,OESCL,True
O,4.0,100.9315217408,5.90280818939209,1,80.0,OESCL,True
E,-4.0,94.765752254464,17.19447135925293,1,80.0,OESCL,True
E,-3.6,95.247459680256,17.283966064453125,1,80.0,OESCL,True
E,-3.2,95.687643496448,17.365720748901367,1,80.0,OESCL,True
E,-2.8,96.082184896512,17.43897247314453,1,80.0,OESCL,True
E,-2.4,96.430807056384,17.503679275512695,1,80.0,OESCL,True
E,-2.0,96.73180708864,17.55953598022461,1,80.0,OESCL,True
E,-1.5999999999999996,96.98128429056,17.60582733154297,1,80.0,OESCL,True
E,-1.1999999999999997,97.172435501056,17.64129066467285,1,80.0,OESCL,True
E,-0.7999999999999998,97.299397083136,17.664852142333984,1,80.0,OESCL,True
E,-0.3999999999999999,97.37357754368,17.67861557006836,1,80.0,OESCL,True
E,0.0,97.385044770816,17.68075180053711,1,80.0,OESCL,True
