source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
69c8ec7985221d4007562537,JPN25,CL,CL,kSP-FF,kSP-FF CL RWA,0.2,388339426816168.0,388.339426816168,1076,218.54669546103105,80.0,-2.0
69c8ec7985221d4007562537,JPN25,CL,CL,kSP-FF,kSP-FF CL RWA,0.4,343744680361876.75,343.74468036187676,1076,198.7470649536699,80.0,-2.0
69c8ec7985221d4007562537,JPN25,CL,CL,kSP-FF,kSP-FF CL RWA,0.6,308566432333130.8,308.5664323331308,1076,199.9278153278865,80.0,-2.0
69c8ec7985221d4007562537,JPN25,CL,CL,kSP-FF,kSP-FF CL RWA,0.8,276907108668958.88,276.90710866895887,1076,199.11584482481703,80.0,-2.0
69c8ec7985221d4007562537,JPN25,CL,CL,kSP-FF,kSP-FF CL RWA,1.0,243539441233086.34,243.53944123308634,1076,203.90819755988196,80.0,-2.0
