iter,gbest_fit_Tbps,swarm_mean_Tbps,swarm_std_x,w,snr_metric,gbest_O_dBm,gbest_E_dBm,gbest_S_dBm,gbest_C_dBm,gbest_L_dBm,gbest_O_SNR_dB,gbest_E_SNR_dB,gbest_S_SNR_dB,gbest_C_SNR_dB,gbest_L_SNR_dB
0,1326.4286473337038,1230.8764743993265,1.8829597021508715,0.9,mean_linear_dB,0.465103217153775,-1.7875895712316203,-1.0188116283297437,-4.021421013106398,-4.198289485248186,6.347668994864603,11.803431721013542,14.865075446103013,18.509346177135704,18.435148283471467
1,1339.248017244827,1284.0377118522304,1.304942827401137,0.9,mean_linear_dB,-2.533815281007821,-1.0824315812548662,-2.070384700376051,-3.2362296764100384,-3.7872928986224954,7.171254179220412,11.72415334084414,14.994160006657433,18.57038393107436,18.426066078380085
2,1345.8518035826817,1320.2734285777947,0.8125329847245087,0.8827586206896552,mean_linear_dB,-1.2979532120423038,-1.9269439844981375,-2.2411796283930583,-4.033694622361302,-4.579902022071991,6.999141511694038,11.979068176387946,15.199413644464139,18.72182576400389,18.506095295328194
3,1346.4795939266683,1330.3462044612693,0.939352025061153,0.8655172413793104,mean_linear_dB,-1.6730597931954205,-0.5881180118471263,-2.3542173822043932,-4.593060529030208,-3.712712536255106,7.258286600998627,11.83760269088608,15.106179395719026,18.594584093017772,18.438488213654885
4,1346.5292261742352,1326.468160272226,0.8500573159795465,0.8482758620689655,mean_linear_dB,-1.3816082746715268,-0.4819962925220076,-2.1426125890813856,-4.145796147370802,-4.734458122276279,7.083875470352695,11.702811767021561,15.177294183859281,18.704258348849137,18.501287764695526
5,1348.577963185615,1339.4776119262715,0.6134212635832822,0.8310344827586207,mean_linear_dB,-1.7943860411861057,-0.5398801768900877,-2.0331570061067907,-4.342101263910611,-4.618282758997189,7.279789067045912,11.739557785285248,15.17855020771738,18.698358873674454,18.50922357140827
6,1348.577963185615,1337.210436931272,0.6198681397164301,0.8137931034482759,mean_linear_dB,-1.7943860411861057,-0.5398801768900877,-2.0331570061067907,-4.342101263910611,-4.618282758997189,7.279789067045912,11.739557785285248,15.17855020771738,18.698358873674454,18.50922357140827
7,1348.577963185615,1337.3471290591401,0.6266506628870677,0.7965517241379311,mean_linear_dB,-1.7943860411861057,-0.5398801768900877,-2.0331570061067907,-4.342101263910611,-4.618282758997189,7.279789067045912,11.739557785285248,15.17855020771738,18.698358873674454,18.50922357140827
8,1349.954932579406,1341.376212019901,0.5175684250472606,0.7793103448275862,mean_linear_dB,-1.7071271080673005,-0.8939216424180534,-2.423172200600032,-4.126590166137501,-4.397276508431802,7.273488880037819,11.89283495225008,15.179068944163836,18.714599812813002,18.504307334887333
9,1350.6344871085846,1340.6136430068757,0.5269839769021153,0.7620689655172415,mean_linear_dB,-1.845593733021658,-0.7208177152441586,-2.322032323039892,-4.227249510496579,-4.63699963550903,7.270807464257194,11.830476860300504,15.209616612253928,18.728402287865887,18.507389632050703
10,1350.6344871085846,1343.7888488356268,0.4744265236187249,0.7448275862068966,mean_linear_dB,-1.845593733021658,-0.7208177152441586,-2.322032323039892,-4.227249510496579,-4.63699963550903,7.270807464257194,11.830476860300504,15.209616612253928,18.728402287865887,18.507389632050703
11,1350.6344871085846,1339.5239754242748,0.44931734590405226,0.7275862068965517,mean_linear_dB,-1.845593733021658,-0.7208177152441586,-2.322032323039892,-4.227249510496579,-4.63699963550903,7.270807464257194,11.830476860300504,15.209616612253928,18.728402287865887,18.507389632050703
12,1350.8830271270795,1346.1005266066027,0.3241075530899469,0.710344827586207,mean_linear_dB,-1.8026390422710687,-0.8165973598855725,-2.219429680649249,-4.146277708605783,-4.643740813015541,7.301571375427725,11.840720350669123,15.199018285756992,18.724374785454685,18.50933987733413
13,1351.315006421399,1343.9579617301483,0.40897752756074135,0.6931034482758621,mean_linear_dB,-1.7851902007041858,-1.0012897874137678,-2.1484388862468706,-3.8773249919842847,-4.730098396535428,7.333568420202591,11.854126902558463,15.186103053995474,18.722626935938102,18.509314542045423
14,1351.315006421399,1346.759889630221,0.37653473468205506,0.6758620689655173,mean_linear_dB,-1.7851902007041858,-1.0012897874137678,-2.1484388862468706,-3.8773249919842847,-4.730098396535428,7.333568420202591,11.854126902558463,15.186103053995474,18.722626935938102,18.509314542045423
15,1351.315006421399,1346.8734842509998,0.3028466334981387,0.6586206896551724,mean_linear_dB,-1.7851902007041858,-1.0012897874137678,-2.1484388862468706,-3.8773249919842847,-4.730098396535428,7.333568420202591,11.854126902558463,15.186103053995474,18.722626935938102,18.509314542045423
