source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,0.2,2613221742203794.0,2613.221742203794,5300,621.8700648713857,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,0.4,2481402712368530.5,2481.4027123685305,5300,314.4465230079368,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,0.6,2377875521431131.0,2377.875521431131,5300,303.9903873242438,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,0.8,2291702832007999.5,2291.7028320079994,5300,302.8046763818711,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,FF-kSP,FF-kSP OESCL RWA,1.0,2217586634651004.2,2217.5866346510043,5300,309.36253738589585,80.0,-2.0
