source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
69c8ec7985221d4007562537,JPN25,ESCL,ESCL,kSP-FF,kSP-FF ESCL RWA,0.2,920599845691739.4,920.5998456917393,2200,225.2000999529846,80.0,-2.0
69c8ec7985221d4007562537,JPN25,ESCL,ESCL,kSP-FF,kSP-FF ESCL RWA,0.4,857862474256211.2,857.8624742562113,2200,201.4470185516402,80.0,-2.0
69c8ec7985221d4007562537,JPN25,ESCL,ESCL,kSP-FF,kSP-FF ESCL RWA,0.6,802882810412500.1,802.8828104125001,2200,204.47853097412735,80.0,-2.0
69c8ec7985221d4007562537,JPN25,ESCL,ESCL,kSP-FF,kSP-FF ESCL RWA,0.8,748334474238555.5,748.3344742385555,2200,205.54360863706097,80.0,-2.0
69c8ec7985221d4007562537,JPN25,ESCL,ESCL,kSP-FF,kSP-FF ESCL RWA,1.0,686638787969046.9,686.6387879690469,2200,214.1591959767975,80.0,-2.0
