topology,rwa_key,band_selection,swept_band,power_dBm,capacity_Tbps,default_power_dBm,span_length_km
NSFNET,kSP-FF OESCL RWA,OESCL,S,1.2000000000000002,902.6810893731302,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,1.6000000000000005,877.3462035594065,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,2.0,847.98149054224,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,2.4000000000000004,815.0493496172485,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,2.8000000000000007,779.4839107930802,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,3.2,741.0511463348633,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,3.6000000000000005,700.6931363096446,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,S,4.0,659.811702886156,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-4.0,1034.5411077232388,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-3.6,1032.2579428264946,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-3.2,1028.8880852411633,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-2.8,1024.2059878194707,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-2.4,1018.140037473984,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-2.0,1010.6487348729088,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-1.5999999999999996,1001.6018276735314,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-1.1999999999999997,991.0133460863466,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-0.7999999999999998,978.8447676187346,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,-0.3999999999999999,965.3766850624671,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,0.0,950.3791472096043,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,0.40000000000000036,933.8844704954635,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,0.8000000000000007,915.7239659451071,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,1.2000000000000002,895.7747364248747,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,1.6000000000000005,873.1870386800772,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,2.0,848.1135175383333,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,2.4000000000000004,820.7470657558841,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,2.8000000000000007,791.4068220302585,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,3.2,760.017513003636,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,3.6000000000000005,726.6626603387002,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,C,4.0,691.6762686369219,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-4.0,1115.5822879564453,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-3.6,1108.2745897494376,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-3.2,1098.6195296814585,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-2.8,1086.9378406907847,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-2.4,1073.444247738916,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-2.0,1057.6666608809805,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-1.5999999999999996,1039.902586342666,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-1.1999999999999997,1020.0862347168834,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-0.7999999999999998,998.1019629362102,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,-0.3999999999999999,974.8334256355897,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,0.0,950.3791472096043,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,0.40000000000000036,924.8261455737902,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,0.8000000000000007,897.4369018940044,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,1.2000000000000002,866.3977719401595,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,1.6000000000000005,833.9332614111506,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,2.0,799.0713461549651,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,2.4000000000000004,761.9523769319209,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,2.8000000000000007,722.4473764358097,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,3.2,681.8157457635851,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,3.6000000000000005,640.6349821453198,0.0,80.0
NSFNET,kSP-FF OESCL RWA,OESCL,L,4.0,597.8597892070746,0.0,80.0
