source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
5f636b15439c64afe20d6f6f,NSFNET,CL,CL,FF-kSP,FF-kSP CL RWA,0.2,692801233953416.8,692.8012339534167,1488,123.30739096784964,80.0,"{'O': -1.63, 'E': -2.63, 'S': -2.25, 'C': -4.76, 'L': -4.54}"
5f636b15439c64afe20d6f6f,NSFNET,CL,CL,FF-kSP,FF-kSP CL RWA,0.4,598272383539777.6,598.2723835397776,1488,117.21450788900256,80.0,"{'O': -1.63, 'E': -2.63, 'S': -2.25, 'C': -4.76, 'L': -4.54}"
5f636b15439c64afe20d6f6f,NSFNET,CL,CL,FF-kSP,FF-kSP CL RWA,0.6,536789436771446.7,536.7894367714467,1488,115.81423203810118,80.0,"{'O': -1.63, 'E': -2.63, 'S': -2.25, 'C': -4.76, 'L': -4.54}"
5f636b15439c64afe20d6f6f,NSFNET,CL,CL,FF-kSP,FF-kSP CL RWA,0.8,491614018403472.44,491.6140184034724,1488,119.31516493111849,80.0,"{'O': -1.63, 'E': -2.63, 'S': -2.25, 'C': -4.76, 'L': -4.54}"
5f636b15439c64afe20d6f6f,NSFNET,CL,CL,FF-kSP,FF-kSP CL RWA,1.0,456186888891383.7,456.18688889138366,1488,119.9726477409713,80.0,"{'O': -1.63, 'E': -2.63, 'S': -2.25, 'C': -4.76, 'L': -4.54}"
