source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
69c8ec7985221d4007562537,JPN25,C,C,kSP-FF,kSP-FF C RWA,0.2,193210858273197.72,193.21085827319772,499,213.33340751379728,80.0,-2.0
69c8ec7985221d4007562537,JPN25,C,C,kSP-FF,kSP-FF C RWA,0.4,171970929457255.88,171.97092945725586,499,189.61524539487436,80.0,-2.0
69c8ec7985221d4007562537,JPN25,C,C,kSP-FF,kSP-FF C RWA,0.6,154961204856045.47,154.96120485604547,499,192.53351620584726,80.0,-2.0
69c8ec7985221d4007562537,JPN25,C,C,kSP-FF,kSP-FF C RWA,0.8,139751726406210.31,139.7517264062103,499,194.16911234287545,80.0,-2.0
69c8ec7985221d4007562537,JPN25,C,C,kSP-FF,kSP-FF C RWA,1.0,123343405432139.34,123.34340543213935,499,202.4520478611812,80.0,-2.0
