source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
696a7016730f908b27b5c16a,DTAG,SCL,SCL,kSP-FF,kSP-FF SCL RWA,0.2,1304950794407954.2,1304.9507944079542,2265,261.8970674686134,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,SCL,SCL,kSP-FF,kSP-FF SCL RWA,0.4,1264566138840693.0,1264.566138840693,2265,227.88590481877327,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,SCL,SCL,kSP-FF,kSP-FF SCL RWA,0.6,1229731792019321.0,1229.731792019321,2265,249.79811591468751,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,SCL,SCL,kSP-FF,kSP-FF SCL RWA,0.8,1199023047687031.0,1199.023047687031,2265,232.9044556217268,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,SCL,SCL,kSP-FF,kSP-FF SCL RWA,1.0,1171524212760335.5,1171.5242127603356,2265,251.06238621287048,80.0,-2.0
