source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
696a7016730f908b27b5c16a,DTAG,CL,CL,kSP-FF,kSP-FF CL RWA,0.2,798875019854698.4,798.8750198546984,1337,215.61292771808803,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,CL,CL,kSP-FF,kSP-FF CL RWA,0.4,777465264781579.1,777.4652647815791,1337,191.0837515797466,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,CL,CL,kSP-FF,kSP-FF CL RWA,0.6,758553042600767.9,758.5530426007679,1337,193.9208518108353,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,CL,CL,kSP-FF,kSP-FF CL RWA,0.8,741594359751638.9,741.5943597516389,1337,201.19042633939534,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,CL,CL,kSP-FF,kSP-FF CL RWA,1.0,726211521959659.8,726.2115219596598,1337,211.49337135069072,80.0,-2.0
