source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
5f636b15439c64afe20d6f6f,NSFNET,SCL,SCL,kSP-FF,kSP-FF SCL RWA,0.2,1281556835915503.0,1281.556835915503,2532,236.70682580489665,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,SCL,SCL,kSP-FF,kSP-FF SCL RWA,0.4,1148710037245274.5,1148.7100372452744,2532,186.36216590553522,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,SCL,SCL,kSP-FF,kSP-FF SCL RWA,0.6,1056835637881523.8,1056.8356378815238,2532,187.1795995021239,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,SCL,SCL,kSP-FF,kSP-FF SCL RWA,0.8,986761788910105.0,986.761788910105,2532,184.35728920809925,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,SCL,SCL,kSP-FF,kSP-FF SCL RWA,1.0,930326927838784.0,930.326927838784,2532,186.99493813421577,80.0,-2.0
