source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,kSP-FF,kSP-FF OESCL RWA,0.2,2588980349127486.0,2588.980349127486,4947,716.9550550524145,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,kSP-FF,kSP-FF OESCL RWA,0.4,2462908975631126.5,2462.9089756311264,4947,446.30909436941147,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,kSP-FF,kSP-FF OESCL RWA,0.6,2365078763611681.5,2365.0787636116816,4947,459.1389547176659,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,kSP-FF,kSP-FF OESCL RWA,0.8,2284067652906382.0,2284.067652906382,4947,396.97026736754924,80.0,-2.0
696a7016730f908b27b5c16a,DTAG,OESCL,OESCL,kSP-FF,kSP-FF OESCL RWA,1.0,2214564820236014.2,2214.5648202360144,4947,474.4094674317166,80.0,-2.0
