source_id,topology,band_user,band_resolved,route_function,rwa_key,scale,cfm_capacity_bps,cfm_capacity_tbps,cfm_lightpaths,elapsed_seconds,span_length_km,launch_power_dBm
5f636b15439c64afe20d6f6f,NSFNET,C,C,kSP-FF,kSP-FF C RWA,0.2,362235168049510.44,362.23516804951043,644,205.51634591817856,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,C,C,kSP-FF,kSP-FF C RWA,0.4,327315736095474.6,327.3157360954746,644,189.56843630224466,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,C,C,kSP-FF,kSP-FF C RWA,0.6,302878498907146.44,302.8784989071464,644,180.88388759084046,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,C,C,kSP-FF,kSP-FF C RWA,0.8,284107491515238.44,284.10749151523845,644,184.83682464715093,80.0,-2.0
5f636b15439c64afe20d6f6f,NSFNET,C,C,kSP-FF,kSP-FF C RWA,1.0,268904592024481.44,268.9045920244814,644,186.0109835062176,80.0,-2.0
